,Total_years,censored,Baseline,Predicted_income,Married,Male,ACGC,Celebrity breakfast,Golf,Personal_connection,Mean_Pred_Total_years,Med_Pred_Total_years
1985,32.0410677618,1,1,-0.153950801874,1.0,1.0,False,False,False,False,23.359512112,23.368828193
1988,27.8631074606,1,1,-0.485486354687,1.0,1.0,False,False,False,False,22.9214469995,22.9179897608
2002,23.9151266256,1,1,0.0552822667774,1.0,1.0,False,False,False,False,23.6527245725,23.7286266328
2005,26.0123203285,1,1,-0.153950801874,1.0,1.0,False,False,False,False,23.359512112,23.368828193
2006,23.9534565366,1,1,-0.84534878151,1.0,1.0,False,False,False,False,22.4815730565,22.4697583453
2064,26.8774811773,1,1,0.849189563242,1.0,1.0,False,False,False,False,24.8649619841,24.8633876654
2065,31.4305270363,1,1,-0.153950801874,1.0,0.0,False,False,False,True,14.1481253287,14.0043782087
2073,28.0164271047,1,1,-0.153950801874,0.0,0.0,False,False,False,True,18.1750387031,17.8642745264
2084,22.9869952088,1,1,-0.153950801874,1.0,1.0,False,False,False,False,23.359512112,23.368828193
2092,29.9630390144,1,1,-0.153950801874,1.0,1.0,False,False,False,False,23.359512112,23.368828193
2093,23.780971937,1,1,-0.760368159479,1.0,1.0,False,False,False,True,22.8032259094,22.8709495539
2102,22.0095824778,1,1,0.530402152101,1.0,1.0,False,False,False,False,24.3655535223,24.31930911
2113,20.8049281314,1,1,-0.153950801874,0.0,0.0,False,False,False,True,18.1750387031,17.8642745264
2118,25.7138945927,1,1,1.98482253892,0.0,0.0,False,False,False,False,20.8023426818,20.6579875017
2140,20.9336071184,1,1,-1.8927931324,1.0,0.0,False,False,False,True,13.388830221,13.2360559925
2146,26.006844627,1,1,-0.153950801874,1.0,1.0,False,False,False,False,23.359512112,23.368828193
2147,27.3292265572,1,1,0.795177699844,1.0,1.0,False,False,False,False,24.7800906796,24.7779550898
2155,5.87542778919,1,1,-1.45455479511,1.0,0.0,False,False,False,False,13.3564820115,13.3622633383
2163,22.6557152635,1,1,-0.153950801874,0.0,1.0,False,False,False,False,29.2093921413,29.0871737088
2188,31.9561943874,1,1,-1.8927931324,1.0,1.0,False,False,False,False,21.4007391818,21.4734529895
2199,19.7864476386,1,1,-0.153950801874,1.0,1.0,False,False,False,False,23.359512112,23.368828193
2207,26.4147843943,1,1,1.98482253892,1.0,1.0,False,False,False,False,26.5765808783,26.4940223095
2212,32.9582477755,1,1,0.849189563242,1.0,1.0,False,False,False,True,24.5688700931,24.5170917675
2218,30.3490759754,1,1,-1.10676955513,1.0,1.0,False,False,False,False,22.1844663029,22.2660030263
2219,31.9561943874,1,1,0.248622093016,0.0,1.0,False,False,False,False,29.8424303468,29.7984424625
2232,38.9952087611,1,1,-0.153950801874,1.0,1.0,False,False,False,False,23.359512112,23.368828193
